Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
19/20,Round 34,24/07/20,Antalyaspor,Galatasaray,2,2,6.79,6.69,4-2-3-1,4-2-3-1,(c) F. Kaplan; N. Sangaré; V. Sarı; F. Kudryashov; E. Albayrak; Fredy; U. Akyol; B. Balcı; D. Sinik; A. d. Silva; A. Jahović,O. Kocuk; M. Linnes; (c) R. Donk; Marcão; M. Saracchi; T. Antalyalı; J. M. Seri; S. Feghouli; Y. Belhanda; E. Akbaba; A. Büyük
19/20,Round 34,25/07/20,Denizlispor,Ankaragücü,0,1,6.73,6.94,4-2-3-1,4-2-3-1,H. Altıntaş; Z. Yavru; O. Yılmaz; M. Yumlu; Z. Bergdich; R. Murawski; I. Sackey; H. Sacko; R. Niyaz; I. Aissati; (c) H. Rodallega,K. Çelikay; C. Karayel; A. Kulušić; M. Stanojević; F. Tultak; (c) S. Ağçay; D. Łukasik; S. Lobjanidze; E. Scarione; K. Michalak; D. Orgill
19/20,Round 34,25/07/20,Fenerbahçe,Rizespor,3,1,7.07,6.61,4-2-3-1,4-2-3-1,H. Tekin; N. Dirar; S. Aziz; S. Falette; H. A. Kaldırım; O. Tufan; (c) E. Belözoğlu; G. Rodrigues; Ö. F. Beyaz; F. Kadıoğlu; A. Sayyadmanesh,G. Akkan; M. Morozyuk; I. Fernandes; M. Talbi; D. Melnjak; O. K. Güçtekin; (c) A. Durak; D. Garmash; F. Boldrin; T. Torun; M. Škoda
19/20,Round 34,25/07/20,Gençlerbirliği,Beşiktaş,0,3,6.47,6.98,4-2-3-1,4-1-4-1,E. Özbir; (c) E. Özgenç; A. Kızıldağ; F. Ramos; H. I. Pehlivan; B. A. Özdemir; S. Dikmen; G. Sio; S. G. Altiparmak; D. Candeias; İ. Karakaş,E. Destanoğlu; G. Gönül; D. Vida; E. Roco; R. Yılmaz; M. Elneny; A. Diaby; (c) A. Hutchinson; T. Boyd; G. N'Koudou; G. Yalçın
19/20,Round 34,25/07/20,Göztepe,Sivasspor,3,1,7.02,6.53,4-2-3-1,4-4-2,M. G. Bakırbaş; M. Paluli; C. Borges; A. Nukan; B. Emir; S. Aydoğdu; Y. Kayan; (c) H. Akbunar; M. Mossoró; Z. Tripić; S. Napoleoni,M. Samassa; B. Yardımcı; A. Appindangoyé; C. Osmanpaşa; U. Çiftçi; E. Yeşilyurt; I. Cofie; (c) H. Arslan; E. Kılınç; A. Koné; M. H. Yandaş
19/20,Round 34,25/07/20,Kayserispor,Trabzonspor,1,2,6.86,6.95,4-1-4-1,4-2-3-1,(c) S. Lung Jr.; Z. Kvržić; C. Săpunaru; D. Angelo; Y. Subaşı; Campanharo; C. Şahin; H. H. Acar; B. D. Djédjé; P. Henrique; A. Kravets,U. Çakır; J. Pereira; H. Türkmen; G. Campi; F. Novák; A. Parmak; (c) J. Sosa; A. Ömür; C. Ekuban; B. Ndiaye; A. Sørloth
19/20,Round 34,25/07/20,Konyaspor,Alanyaspor,2,3,6.73,6.86,4-4-2,4-4-2,E. Taşkıran; (c) A. Turan; S. Ay; M. Aničić; F. Öztorun; L. Shengelia; A. Hadžiahmetović; F. Miya; A. Uludağ; E. Daci; Thuram,C. Gönen; Baiano; (c) Welinton; L. Gör; K. Kanak; O. Bulut; M. Çağıran; S. Uçan; E. Altıntaş; M. Pektemek; P. D. Cissé
19/20,Round 34,25/07/20,Yeni Malatyaspor,Gaziantep,0,1,6.81,,4-2-3-1,5-3-2,F. Farnolle; Y. Ndayishimiye; A. Mina; T. L. Hadebe; K. Hafez; (c) M. Yildirim; A. Ildız; G. Töre; U. Bulut; M. Fofana; V. Örn Kjartansson,H. Yılmaz; P. Olkowski; P. Djilobodji; (c) J. A. Kana-Biyik; A. Toșca; J. Morais; G. Vural; A. Sousa; J. Junior; A. Maxim; M. Demir
19/20,Round 34,26/07/20,Kasımpaşa,Başakşehir,3,2,7.07,6.71,4-2-3-1,4-2-3-1,(c) R. Köse; F. Hadergjonaj; Y. Meriah; T. Břečka; O. Haddadi; D. Pavelka; A. Kara; Y. Erdoğan; H. Hajradinović; M. Thiam; B. Koita,V. Babacan; J. Caiçara; M. Topal; C. Ponck; A. Behich; G. Inler; B. Özcan; (c) E. Višća; D. Aleksić; E. Elia; F. Gulbrandsen
19/20,Round 33,18/07/20,Galatasaray,Göztepe,3,1,6.83,6.6,4-4-2,4-2-3-1,O. Kocuk; Mariano; (c) R. Donk; Marcão; M. Saracchi; S. Feghouli; Y. Belhanda; J. M. Seri; Ö. Bayram; A. Büyük; E. Akbaba,(c) Beto; M. Paluli; A. Öztürk; A. Nukan; B. Emir; S. Aydoğdu; A. B. Poko; H. Akbunar; M. Mossoró; Z. Tripić; S. Napoleoni
19/20,Round 33,18/07/20,Gaziantep,Kasımpaşa,2,2,6.69,6.81,5-3-2,4-2-3-1,(c) G. Güvenç; O. Ceylan; P. Djilobodji; J. A. Kana-Biyik; A. Toșca; J. Morais; G. Vural; A. Sousa; A. Maxim; K. Özer; M. Demir,(c) R. Köse; F. Hadergjonaj; Y. Meriah; T. Břečka; O. Haddadi; D. Pavelka; A. Kara; Y. Erdoğan; H. Hajradinović; M. Thiam; G. Gohou
